iter	RMSE
0	41.45781489
1	39.63668239
2	37.91455948
3	36.28622375
4	34.75456757
5	33.29757106
6	31.90304778
7	30.60299712
8	29.35820937
9	28.18733756
10	27.07743333
11	26.025588
12	25.03816647
13	24.09926273
14	23.2267055
15	22.38786503
16	21.60168349
17	20.8574016
18	20.17094756
19	19.50760967
20	18.8830002
21	18.30275108
22	17.76177899
23	17.24338777
24	16.75855135
25	16.2991002
26	15.87242604
27	15.4620764
28	15.0808337
29	14.72648373
30	14.39028977
31	14.07206713
32	13.77687315
33	13.49477493
34	13.23937734
35	13.00284106
36	12.7732228
37	12.56529797
38	12.37181817
39	12.19073123
40	12.01608049
41	11.84623334
42	11.69212696
43	11.55247374
44	11.40886672
45	11.27613364
46	11.15368623
47	11.03816497
48	10.93358046
49	10.82338155
50	10.71836383
51	10.62473036
52	10.53217472
53	10.4499294
54	10.3774087
55	10.30089996
56	10.21809103
57	10.14775579
58	10.08342664
59	10.02061529
60	9.959526409
61	9.896515193
62	9.842938825
63	9.791974579
64	9.738083433
65	9.682158875
66	9.632367197
67	9.581614597
68	9.533914305
69	9.486774188
70	9.43943306
71	9.398357615
72	9.358222355
73	9.314384343
74	9.278151973
75	9.245461856
76	9.200905194
77	9.168061963
78	9.132093119
79	9.100936356
80	9.061725592
81	9.028264972
82	9.001170807
83	8.972698992
84	8.943499598
85	8.90051901
86	8.871006474
87	8.835695857
88	8.806924194
89	8.777566577
90	8.751708307
91	8.732777641
92	8.705430906
93	8.680280192
94	8.657312469
95	8.629728604
96	8.604235108
97	8.574050636
98	8.546056938
99	8.518643292
100	8.492759194
101	8.459823853
102	8.437138231
103	8.409589242
104	8.38462056
105	8.36628229
106	8.343659963
107	8.321529177
108	8.300386494
109	8.271709977
110	8.247801624
111	8.226156701
112	8.208990145
113	8.190557829
114	8.161117617
115	8.142534359
116	8.116935679
117	8.091999922
118	8.07440534
119	8.056193431
120	8.037825507
121	8.019712684
122	8.001110134
123	7.981830352
124	7.965904061
125	7.945250821
126	7.923619122
127	7.909294367
128	7.888720399
129	7.867943755
130	7.849504027
131	7.829105456
132	7.813163777
133	7.794620166
134	7.777258374
135	7.756451226
136	7.740713408
137	7.727146963
138	7.708761994
139	7.691697239
140	7.67594047
141	7.656373126
142	7.641487334
143	7.617340547
144	7.60382602
145	7.585603699
146	7.571544129
147	7.551887752
148	7.53872
149	7.511936436
150	7.489763974
151	7.476992284
152	7.460284356
153	7.445850132
154	7.432536761
155	7.417177502
156	7.395832874
157	7.378486996
158	7.364253451
159	7.348487249
160	7.33581324
161	7.322480052
162	7.303898988
163	7.289109861
164	7.268829487
165	7.255123403
166	7.240584447
167	7.222231991
168	7.207730065
169	7.198601694
170	7.186530812
171	7.1742553
172	7.158820925
173	7.137750736
174	7.126895446
175	7.112123487
176	7.098785144
177	7.085163411
178	7.069660131
179	7.05461616
180	7.041760773
181	7.029394151
182	7.01371399
183	6.997663887
184	6.984458059
185	6.97401755
186	6.953986129
187	6.944275641
188	6.925167979
189	6.909055388
190	6.89506297
191	6.877754119
192	6.865154584
193	6.853362742
194	6.840780519
195	6.822936566
196	6.808759243
197	6.790663254
198	6.782554224
199	6.766727839
200	6.757228799
201	6.744662121
202	6.734214208
203	6.724067619
204	6.71391137
205	6.700744026
206	6.688149009
207	6.672133518
208	6.661598939
209	6.646196178
210	6.63437133
211	6.617926478
212	6.60820438
213	6.595958269
214	6.575483289
215	6.56559703
216	6.555154591
217	6.544731655
218	6.529111652
219	6.515114852
220	6.506238722
221	6.490038936
222	6.478182618
223	6.469731174
224	6.460080087
225	6.451083565
226	6.437318848
227	6.427977103
228	6.41761757
229	6.400949997
230	6.39266695
231	6.37532679
232	6.366030428
233	6.355685684
234	6.341791936
235	6.325578568
236	6.312298361
237	6.295532075
238	6.287067371
239	6.275885075
240	6.267308604
241	6.259167831
242	6.241183279
243	6.233258959
244	6.21919972
245	6.210442638
246	6.194893718
247	6.182623302
248	6.169982823
249	6.164002007
250	6.152636859
251	6.142132889
252	6.128500348
253	6.116672004
254	6.10804435
255	6.097640866
256	6.087532664
257	6.078510397
258	6.069132788
259	6.061357357
260	6.052821478
261	6.03761737
262	6.025939133
263	6.015726965
264	6.007185851
265	5.998287406
266	5.983059135
267	5.974253606
268	5.958033867
269	5.948940261
270	5.937018279
271	5.929252534
272	5.913315214
273	5.898952703
274	5.891879799
275	5.882981209
276	5.87406818
277	5.863504885
278	5.854120183
279	5.843976046
280	5.835572938
281	5.823783746
282	5.816520009
283	5.810963558
284	5.799095249
285	5.786270602
286	5.771023284
287	5.755493061
288	5.739682388
289	5.726763458
290	5.71698387
291	5.710928228
292	5.695642504
293	5.686517404
294	5.67908133
295	5.667293034
296	5.656843332
297	5.647511018
298	5.638859428
299	5.634022963
300	5.623905425
301	5.615922665
302	5.605332888
303	5.597115032
304	5.58826226
305	5.57950426
306	5.568735417
307	5.557595816
308	5.547572585
309	5.537432462
310	5.530555965
311	5.523229133
312	5.513901132
313	5.50431074
314	5.497025274
315	5.487630304
316	5.4782984
317	5.467748003
318	5.459005326
319	5.453047135
320	5.442592494
321	5.435574647
322	5.424037733
323	5.412268555
324	5.403831754
325	5.395672444
326	5.390321309
327	5.381500349
328	5.373420682
329	5.367078007
330	5.357609743
331	5.34999896
332	5.340866847
333	5.332583435
334	5.322722716
335	5.31369872
336	5.304309162
337	5.29594022
338	5.286598534
339	5.278628526
340	5.271018136
341	5.261371691
342	5.254285918
343	5.245235633
344	5.236463509
345	5.230108944
346	5.222129184
347	5.21405269
348	5.201181144
349	5.193443862
350	5.184231643
351	5.178639103
352	5.172979249
353	5.165855671
354	5.154780936
355	5.145980995
356	5.140528673
357	5.131178232
358	5.124188575
359	5.115264982
360	5.107153092
361	5.099150462
362	5.094281364
363	5.084815107
364	5.076620299
365	5.06953134
366	5.061112265
367	5.05293916
368	5.045990718
369	5.040378614
370	5.033176465
371	5.026687032
372	5.020982913
373	5.015511553
374	5.01063626
375	5.000956473
376	4.989883818
377	4.983640485
378	4.97415683
379	4.966882265
380	4.958854094
381	4.954163857
382	4.945568659
383	4.939111972
384	4.931743294
385	4.924899221
386	4.915199671
387	4.911179115
388	4.904132425
389	4.896688935
390	4.890142475
391	4.884165182
392	4.875639813
393	4.869869445
394	4.86392917
395	4.856556483
396	4.848815403
397	4.842681154
398	4.835654117
399	4.830192336
400	4.820266595
401	4.812045364
402	4.806890132
403	4.799272516
404	4.791690068
405	4.784490028
406	4.779111369
407	4.772517645
408	4.762808319
409	4.756842434
410	4.750351955
411	4.745748752
412	4.741232416
413	4.737116316
414	4.7312536
415	4.723900479
416	4.717784627
417	4.712921354
418	4.705241868
419	4.699312844
420	4.691654851
421	4.686131409
422	4.679196138
423	4.673706827
424	4.667143175
425	4.65836038
426	4.654045561
427	4.648462047
428	4.642183879
429	4.636884441
430	4.6307432
431	4.624316404
432	4.619282092
433	4.610870092
434	4.60222851
435	4.59383876
436	4.586445861
437	4.579370721
438	4.57106243
439	4.566702327
440	4.560666495
441	4.554424573
442	4.549248467
443	4.543488796
444	4.538707386
445	4.531510057
446	4.525295892
447	4.519540795
448	4.512236153
449	4.505844811
450	4.498657737
451	4.493919544
452	4.486137451
453	4.480231991
454	4.472915159
455	4.468093767
456	4.461435389
457	4.456050562
458	4.44960739
459	4.444017285
460	4.437415819
461	4.432546483
462	4.423721089
463	4.420783108
464	4.414133818
465	4.408300333
466	4.404878892
467	4.39778287
468	4.393338026
469	4.38847687
470	4.383904833
471	4.378054507
472	4.370018371
473	4.364840315
474	4.361169697
475	4.354429846
476	4.348691076
477	4.342487006
478	4.334459026
479	4.327174183
480	4.3231694
481	4.315816712
482	4.310917426
483	4.303989702
484	4.298362444
485	4.292861387
486	4.285841237
487	4.280549493
488	4.275250783
489	4.270560768
490	4.264247678
491	4.260216986
492	4.253634717
493	4.24685878
494	4.241872292
495	4.237866671
496	4.234600463
497	4.230054765
498	4.222304731
499	4.215718844
500	4.209664654
501	4.205396012
502	4.199221798
503	4.193177345
504	4.189532306
505	4.185356832
506	4.180449431
507	4.175423728
508	4.17015147
509	4.166654988
510	4.159809582
511	4.15225966
512	4.148131146
513	4.141565577
514	4.138313714
515	4.132324421
516	4.128995421
517	4.12412257
518	4.120080261
519	4.117705269
520	4.111340046
521	4.106689056
522	4.099731467
523	4.09526212
524	4.089866609
525	4.084611483
526	4.078785294
527	4.074874686
528	4.069725569
529	4.064370573
530	4.059887442
531	4.056254458
532	4.052125807
533	4.04624946
534	4.042880469
535	4.036943147
536	4.032536237
537	4.029796529
538	4.021094514
539	4.017572751
540	4.010864563
541	4.005364199
542	4.00324133
543	3.997953609
544	3.98949541
545	3.983547386
546	3.976405315
547	3.970669838
548	3.966195144
549	3.961965699
550	3.95832291
551	3.954266243
552	3.951011433
553	3.946426036
554	3.943270957
555	3.93824804
556	3.934295315
557	3.927469526
558	3.924438212
559	3.919812946
560	3.915843856
561	3.909579452
562	3.905421301
563	3.902026003
564	3.898151976
565	3.894825133
566	3.888868169
567	3.883113206
568	3.876633917
569	3.871747847
570	3.867108324
571	3.860547815
572	3.854406166
573	3.849231676
574	3.844760197
575	3.841973895
576	3.837011257
577	3.831917958
578	3.829617985
579	3.825668036
580	3.821205817
581	3.816339288
582	3.811035757
583	3.805882524
584	3.802466353
585	3.79799296
586	3.793857657
587	3.789513662
588	3.786613038
589	3.78096716
590	3.776197389
591	3.769193055
592	3.764200466
593	3.759225761
594	3.756185273
595	3.751837996
596	3.748252317
597	3.741927102
598	3.73839316
599	3.733437389
600	3.729007203
601	3.725548838
602	3.72100468
603	3.71605906
604	3.712130103
605	3.708505185
606	3.703022653
607	3.698747639
608	3.69290511
609	3.690485999
610	3.684118278
611	3.679757461
612	3.67638273
613	3.669682509
614	3.664817885
615	3.66201865
616	3.656836236
617	3.651507062
618	3.645693295
619	3.640779938
620	3.637809622
621	3.634287621
622	3.631140494
623	3.627208799
624	3.622829902
625	3.61849903
626	3.614866927
627	3.609373413
628	3.60504831
629	3.600205717
630	3.594634442
631	3.590502391
632	3.586874769
633	3.583374748
634	3.580736676
635	3.576940685
636	3.572698173
637	3.570156823
638	3.566701883
639	3.563316556
640	3.560217758
641	3.555320741
642	3.552649916
643	3.548506116
