iter	Passed	Remaining
0	4	473
1	10	495
2	13	451
3	18	452
4	23	445
5	29	455
6	33	442
7	37	432
8	43	440
9	46	420
10	49	399
11	52	385
12	56	378
13	60	370
14	63	357
15	66	349
16	70	343
17	73	334
18	76	326
19	79	318
20	84	318
21	89	317
22	93	311
23	95	303
24	99	297
25	103	294
26	107	291
27	110	284
28	113	277
29	115	270
30	118	263
31	121	257
32	123	251
33	126	246
34	129	240
35	132	235
36	135	231
37	138	225
38	140	220
39	143	215
40	146	211
41	149	206
42	153	203
43	156	198
44	158	194
45	161	189
46	164	185
47	167	181
48	169	176
49	172	172
50	175	168
51	178	164
52	181	161
53	185	157
54	188	154
55	191	150
56	194	146
57	197	143
58	201	139
59	203	135
60	206	131
61	209	128
62	212	124
63	214	120
64	217	116
65	219	113
66	222	109
67	226	106
68	229	103
69	232	99
70	235	96
71	238	92
72	241	89
73	244	85
74	246	82
75	249	78
76	251	75
77	255	71
78	258	68
79	260	65
80	263	61
81	265	58
82	268	54
83	271	51
84	275	48
85	277	45
86	280	41
87	283	38
88	286	35
89	289	32
90	293	28
91	295	25
92	298	22
93	301	19
94	304	16
95	307	12
96	312	9
97	315	6
98	319	3
99	322	0
